Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,_report_date,_source_file,_ingested_at
Hubei,Mainland China,2020-02-04T23:43:01,16678,479,522,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Zhejiang,Mainland China,2020-02-04T13:03:07,829,0,62,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Guangdong,Mainland China,2020-02-04T13:03:07,813,0,30,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Henan,Mainland China,2020-02-04T11:53:02,675,2,27,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Hunan,Mainland China,2020-02-04T14:03:03,593,0,31,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Anhui,Mainland China,2020-02-04T05:33:01,480,0,20,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Jiangxi,Mainland China,2020-02-04T14:43:02,476,0,20,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Chongqing,Mainland China,2020-02-04T23:43:01,366,2,9,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Jiangsu,Mainland China,2020-02-04T11:53:02,308,0,12,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Sichuan,Mainland China,2020-02-04T01:43:02,282,1,14,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Shandong,Mainland China,2020-02-04T12:03:04,275,0,11,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Beijing,Mainland China,2020-02-04T08:33:01,228,1,23,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Shanghai,Mainland China,2020-02-04T06:33:02,219,1,12,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Fujian,Mainland China,2020-02-04T12:13:11,194,0,3,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Heilongjiang,Mainland China,2020-02-04T07:43:01,155,2,4,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Shaanxi,Mainland China,2020-02-04T12:33:02,142,0,2,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Guangxi,Mainland China,2020-02-04T05:53:01,139,0,10,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Hebei,Mainland China,2020-02-04T08:53:01,126,1,4,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Yunnan,Mainland China,2020-02-04T23:23:02,122,0,5,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Liaoning,Mainland China,2020-02-04T14:13:08,81,0,2,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Shanxi,Mainland China,2020-02-04T23:23:02,81,0,4,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Hainan,Mainland China,2020-02-04T11:33:03,80,1,5,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Tianjin,Mainland China,2020-02-04T13:33:02,67,0,2,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Guizhou,Mainland China,2020-02-04T10:43:02,58,0,2,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Gansu,Mainland China,2020-02-04T15:43:02,57,0,4,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Jilin,Mainland China,2020-02-04T00:23:05,42,0,1,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Inner Mongolia,Mainland China,2020-02-04T03:03:07,35,0,1,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Ningxia,Mainland China,2020-02-04T02:13:18,34,0,1,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
Xinjiang,Mainland China,2020-02-04T01:33:01,29,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Thailand,2020-02-04T15:33:03,25,0,10,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
,Singapore,2020-02-04T15:33:03,24,0,0,2020-02-04,02-04-2020.csv,2026-05-18 17:40:25.163859
