FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,_report_date,_source_file,_ingested_at
45001.0,Abbeville,South Carolina,US,2020-05-26 02:32:35,34.22333378,-82.46170658,35,0,0,35,"Abbeville, South Carolina, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
22001.0,Acadia,Louisiana,US,2020-05-26 02:32:35,30.2950649,-92.41419698,299,18,0,281,"Acadia, Louisiana, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
51001.0,Accomack,Virginia,US,2020-05-26 02:32:35,37.76707161,-75.63234615,731,11,0,720,"Accomack, Virginia, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
16001.0,Ada,Idaho,US,2020-05-26 02:32:35,43.4526575,-116.24155159999998,796,23,0,773,"Ada, Idaho, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
19001.0,Adair,Iowa,US,2020-05-26 02:32:35,41.33075609,-94.47105874,8,0,0,8,"Adair, Iowa, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
21001.0,Adair,Kentucky,US,2020-05-26 02:32:35,37.10459774,-85.28129668,96,18,0,78,"Adair, Kentucky, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
29001.0,Adair,Missouri,US,2020-05-26 02:32:35,40.19058551,-92.60078167,44,0,0,44,"Adair, Missouri, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
40001.0,Adair,Oklahoma,US,2020-05-26 02:32:35,35.88494195,-94.65859267,82,3,0,79,"Adair, Oklahoma, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
8001.0,Adams,Colorado,US,2020-05-26 02:32:35,39.87432092,-104.3362578,3475,148,0,2796,"Adams, Colorado, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
16003.0,Adams,Idaho,US,2020-05-26 02:32:35,44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
17001.0,Adams,Illinois,US,2020-05-26 02:32:35,39.98815591,-91.18786813,44,1,0,43,"Adams, Illinois, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
18001.0,Adams,Indiana,US,2020-05-26 02:32:35,40.7457653,-84.93671406,12,1,0,11,"Adams, Indiana, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
19003.0,Adams,Iowa,US,2020-05-26 02:32:35,41.02903567,-94.69932645,5,0,0,5,"Adams, Iowa, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
28001.0,Adams,Mississippi,US,2020-05-26 02:32:35,31.47669768,-91.35326037,188,15,0,173,"Adams, Mississippi, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
31001.0,Adams,Nebraska,US,2020-05-26 02:32:35,40.52449420000001,-98.50117804,265,11,0,254,"Adams, Nebraska, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
39001.0,Adams,Ohio,US,2020-05-26 02:32:35,38.84541072,-83.4718964,8,1,0,7,"Adams, Ohio, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
42001.0,Adams,Pennsylvania,US,2020-05-26 02:32:35,39.87140411,-77.21610347,229,7,0,222,"Adams, Pennsylvania, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
53001.0,Adams,Washington,US,2020-05-26 02:32:35,46.98299757,-118.5601734,53,0,0,53,"Adams, Washington, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
55001.0,Adams,Wisconsin,US,2020-05-26 02:32:35,43.96974651,-89.76782777,4,1,0,3,"Adams, Wisconsin, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
50001.0,Addison,Vermont,US,2020-05-26 02:32:35,44.03217337,-73.14130877,62,2,0,60,"Addison, Vermont, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
45003.0,Aiken,South Carolina,US,2020-05-26 02:32:35,33.54338026,-81.63645384,178,7,0,171,"Aiken, South Carolina, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
27001.0,Aitkin,Minnesota,US,2020-05-26 02:32:35,46.60962049,-93.4116826,6,0,0,6,"Aitkin, Minnesota, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
12001.0,Alachua,Florida,US,2020-05-26 02:32:35,29.67866525,-82.35928158,365,7,0,358,"Alachua, Florida, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
37001.0,Alamance,North Carolina,US,2020-05-26 02:32:35,36.0434701,-79.39976137,278,20,0,258,"Alamance, North Carolina, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
6001.0,Alameda,California,US,2020-05-26 02:32:35,37.64629437,-121.8929271,2905,92,0,2810,"Alameda, California, US",2020-05-25,05-25-2020.csv,2026-05-18 17:41:52.057811
