FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,_report_date,_source_file,_ingested_at
,,,Afghanistan,2020-10-25 04:24:36,33.93911,67.709953,40687,1507,34023,5157,Afghanistan,104.51768288815596,3.7038857620370154,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,,Albania,2020-10-25 04:24:36,41.1533,20.1683,18858,473,10548,7837,Albania,655.292237125582,2.5082193233640897,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,,Algeria,2020-10-25 04:24:36,28.0339,1.6596,55880,1907,38932,15041,Algeria,127.43140453922612,3.412670007158196,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,,Andorra,2020-10-25 04:24:36,42.5063,1.5218,4038,69,2729,1240,Andorra,5226.169675791109,1.7087667161961366,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,,Angola,2020-10-25 04:24:36,-11.2027,17.8739,9026,267,3461,5298,Angola,27.46280776387511,2.958120983824507,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,,Antigua and Barbuda,2020-10-25 04:24:36,17.0608,-61.7964,124,3,108,13,Antigua and Barbuda,126.62364185932522,2.419354838709677,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,,Argentina,2020-10-25 04:24:36,-38.4161,-63.6167,1081336,28613,881113,171610,Argentina,2392.5598181440714,2.6460785546768077,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,,Armenia,2020-10-25 04:24:36,40.0691,45.0382,75523,1157,50701,23665,Armenia,2548.668110584584,1.5319836341247035,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,Australian Capital Territory,Australia,2020-10-25 04:24:36,-35.4735,149.0124,114,3,110,1,"Australian Capital Territory, Australia",26.62929222144359,2.631578947368421,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,New South Wales,Australia,2020-10-25 04:24:36,-33.8688,151.2093,4382,53,0,4329,"New South Wales, Australia",53.97881251539789,1.2094933820173437,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,Northern Territory,Australia,2020-10-25 04:24:36,-12.4634,130.8456,33,0,33,0,"Northern Territory, Australia",13.436482084690551,0.0,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,Queensland,Australia,2020-10-25 04:24:36,-27.4698,153.0251,1167,6,1155,6,"Queensland, Australia",22.813019255204768,0.5141388174807198,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,South Australia,Australia,2020-10-25 04:24:36,-34.9285,138.6007,487,4,473,10,"South Australia, Australia",27.725590663250784,0.8213552361396304,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,Tasmania,Australia,2020-10-25 04:24:36,-42.8821,147.3272,230,13,217,0,"Tasmania, Australia",42.95051353874883,5.652173913043479,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,Victoria,Australia,2020-10-25 04:24:36,-37.8136,144.9631,20343,817,19354,172,"Victoria, Australia",306.8372071976953,4.016123482278917,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
,,Western Australia,Australia,2020-10-25 04:24:36,-31.9505,115.8605,757,9,692,56,"Western Australia, Australia",28.776704934235536,1.1889035667107002,2020-10-24,10-24-2020.csv,2026-05-18 17:45:16.485977
