FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,_report_date,_source_file,_ingested_at
,,,Afghanistan,2020-12-12 05:26:19,33.93911,67.709953,48753,1939,38141,8673,Afghanistan,125.2378055360746,3.9771911472114536,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,,Albania,2020-12-12 05:26:19,41.1533,20.1683,46863,977,24136,21750,Albania,1628.4314406838555,2.0848003755628106,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,,Algeria,2020-12-12 05:26:19,28.0339,1.6596,91121,2575,59590,28956,Algeria,207.79665377628527,2.825912797269565,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,,Andorra,2020-12-12 05:26:19,42.5063,1.5218,7236,78,6598,560,Andorra,9365.171811298776,1.077943615257048,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,,Angola,2020-12-12 05:26:19,-11.2027,17.8739,16061,365,8798,6898,Angola,48.8677327161088,2.2725857667642115,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,,Antigua and Barbuda,2020-12-12 05:26:19,17.0608,-61.7964,147,4,138,5,Antigua and Barbuda,150.11028510742585,2.7210884353741496,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,,Argentina,2020-12-12 05:26:19,-38.4161,-63.6167,1489328,40606,1324792,123930,Argentina,3295.28132683724,2.726464553140745,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,,Armenia,2020-12-12 05:26:19,40.0691,45.0382,146317,2445,123474,20398,Armenia,4937.74706958681,1.6710293404047376,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,Australian Capital Territory,Australia,2020-12-12 05:26:19,-35.4735,149.0124,117,3,114,0,"Australian Capital Territory, Australia",27.330063069376315,2.5641025641025643,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,New South Wales,Australia,2020-12-12 05:26:19,-33.8688,151.2093,4639,53,0,4586,"New South Wales, Australia",57.14461690071446,1.1424876050873034,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,Northern Territory,Australia,2020-12-12 05:26:19,-12.4634,130.8456,62,0,52,10,"Northern Territory, Australia",25.2442996742671,0.0,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,Queensland,Australia,2020-12-12 05:26:19,-27.4698,153.0251,1226,6,1199,21,"Queensland, Australia",23.966376698269965,0.4893964110929853,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,South Australia,Australia,2020-12-12 05:26:19,-34.9285,138.6007,562,4,558,0,"South Australia, Australia",31.995445488186736,0.7117437722419929,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
,,Tasmania,Australia,2020-12-12 05:26:19,-42.8821,147.3272,234,13,217,4,"Tasmania, Australia",43.69747899159664,5.555555555555555,2020-12-11,12-11-2020.csv,2026-05-18 17:46:25.244797
